Id1,Name GHTK, Id2, Name dev_Tuan, Parent_id 1, Simillar,
7655,Phố Ràng,21874,thị trấn Phố Ràng,491,0.889,
7664,A Lù,17837,xã A Lù,492,0.889,
7686,Y Tý,17858,xã Y Tý,492,0.889,
2399,Cần Đước,23041,Thị trấn Cần Đước,170,0.889,
29678,Long Hậu 2,7277,Long Hậu,171,0.889,
29680,Long Phú,7278,Long Phụng,171,0.889,
2440,Long Trì,15770,Xã Long Trì ,172,0.889,
2513,Tân Hưng,7292,Thạnh hưng,178,0.889,
2568,Thủ Thừa,7320,Thị Trấn Thủ Thừa,182,0.889,
7796,Ngô Đồng,20053,Thị trấn Ngô Đồng,498,0.889,
7797,Quất Lâm,20056,Thị trấn Quất Lâm,498,0.889,
7832,Yên Định,20192,Thị trấn Yên Định,499,0.889,
39908,Bắc Ninh,12599,đường Bắc Ninh ,501,0.889,
39920,Bùi Xuân Mẫn,12735,đường Bùi Xuân Mẫn  ,501,0.889,
39955,Đoàn Kết,12663,đường Đoàn Kết ,501,0.889,
39968,Hàng Cấp,12635,đường Hàng Cấp ,501,0.889,
39969,Hàng Cau,12607,đường Hàng Cau ,501,0.889,
39971,Hàng Sắt,12631,đường Hàng Sắt ,501,0.889,
39983,Hưng Yên,12649,đường Hưng Yên ,501,0.889,
40009,Lương Xá,12691,đường Lương Xá ,501,0.889,
40018,Máy Chai,12606,đường Máy Chai ,501,0.889,
40097,Song Hào,12776,đường Song Hào ,501,0.889,
40134,Trần Phú,12601,đường Trần Phú ,501,0.889,
40173,Yết Kiêu,12712,đường Yết Kiêu ,501,0.889,
7912,Quỹ Nhất,19948,Thị trấn Quỹ Nhất,503,0.889,
4718, Hùng Sơn,21582,xã Hùng Sơn,329,0.889,
4719, Khai Sơn,21583,xã Khai Sơn,329,0.889,
4720, Long Sơn,21586,xã Long Sơn,329,0.889,
4799, Nhân Sơn,21537,xã Nhân Sơn,333,0.889,
4807,Đô Lương,21484,Thị trấn Đô Lương,333,0.889,
4865, Phà Đánh,21925,xã Phá Đánh,336,0.889,
4885, Kim Liên,17453,xã Kim Liên,337,0.889,
5013,Cầu Giát,20291,Thị trấn Cầu Giát,343,0.889,
5065,Tân Xuân,23913,xã Tân Xuân ,344,0.889,
5118,Hòa Bình,21399,Thị trấn Hòa Bình,347,0.889,
5136, Bến Thuỷ,15162,phường Bến Thủy,348,0.889,
8710,Nho Quan,17867,Thị trấn Nho Quan,559,0.889,
40939,Phúc Tân,6030,Phúc Thành,560,0.889,
40952,Tân Bình,6032,Thanh Bình,560,0.889,
40954,Tân Thịnh,6031,Tân Thành,560,0.889,
40956,Tây Thạnh,6031,Tân Thành,560,0.889,
40977,Văn Thành,6031,Tân Thành,560,0.889,
8745,Tân Bình,7779,P Tân Bình,561,0.889,
8748,Yên Bình,7776,P Yên Bình,561,0.889,
8768,Yên Ninh,7800,Thị Trấn Yên Ninh,562,0.889,
8882,Hùng Sơn,13434,Thị trấn Hùng Sơn,567,0.889,
8884,Lâm Thao,18413,thị trấn Lâm Thao,567,0.889,
8928,Hưng Hóa,18376,thị trấn Hưng Hóa,570,0.889,
8977,Thanh Ba,21700,Thị trấn Thanh Ba,572,0.889,
41099,Nguyễn Thị Minh Khai,12370,đường Nguyễn Thị Minh Khai STT,575,0.889,
9135,Hòa Vinh,15022,Thị Trấn Hòa Vinh,584,0.889,
9160,Củng Sơn,18956,Thị trấn Củng Sơn,587,0.889,
9994,Hoàn Lão,15139,Thị Trấn Hoàn Lão,645,0.889,
10083,Quán Hàu,15138,Thị Trấn Quán Hàu,649,0.889,
2592,Ái Nghĩa,22144,xã Đại Nghĩa,185,0.889,
2597,Đại Hiệp,22145,xã Đại Hiệp ,185,0.889,
2599,Đại Hồng,22149,xã Đại Phong,185,0.889,
2600,Đại Hưng,22140,xã Đại Hưng ,185,0.889,
2601,Đại Lãnh,22139,xã Đại Lãnh ,185,0.889,
30466,Thanh Hóa,15465,Phường Thanh Hà,190,0.889,
2691,Thạnh Mỹ,22508,Thị trấn Thạnh Mỹ,191,0.889,
2738,Khâm Đức,23685,Thị trấn Khâm Đức,196,0.889,
2750,Đông Phú,20454,Thị trấn Đông Phú,197,0.889,
2784,Dang,23075,xã Dang,199,0.889,
2786,Lăng,23060,xã Lăng,199,0.889,
8057,Phổ Nhơn,18816,xã  Phổ Nhơn,510,0.889,
8173,Trà Thủy,22364,xã Trà Thuỷ ,520,0.889,
34770,Hải Phượng,5783,Hà Phong,294,0.889,
34775,Hải Trường,5782,Hà Trung,294,0.889,
3980,Đường Hoa,16871,xã Đường Hoa,295,0.889,
3985,Quảng Hà,16869,Thị trấn Quảng Hà,295,0.889,
4054,Tiên Yên,20933,Thị trấn Tiên Yên,299,0.889,
4069,Cái Rồng,16706,Thị trấn Cái Rồng,301,0.889,
10176,Cửa Việt,15158,Thị Trấn Cửa Việt,656,0.889,
10182,Gio Linh,15157,Thị Trấn Gio Linh,656,0.889,
10204,Hải Lăng,15160,Thị Trấn Hải Lăng,657,0.889,
10233,Tân Liên,19771, xã Tân Liên,658,0.889,
10263,Bến Quan,18824,Thị trấn Bến Quan,661,0.889,
10264,Cửa Tùng,18825,Thị trấn Cửa Tùng,661,0.889,
9822,Mỹ Xuyên,15666,Thị Trấn Mỹ Xuyên,628,0.889,
10488,Xím Vàng,20786,xã Xím Vàng ,677,0.889,
10517,Mộc Châu,17935,thị trấn Mộc Châu,679,0.889,
10675,Yên Châu,17950,thị trấn Yên Châu,688,0.889,
7359,Cầu Khởi,16036,Xã Cầu Khởi ,473,0.889,
7363,Phan,16039,Xã Phan,473,0.889,
7387,Tân Biên,18122,Thị trấn Tân Biên,476,0.889,
7397,Tân Châu,18130,Thị trấn Tân Châu,477,0.889,
6410,Thanh Nê,16814,thị trấn Thanh Nê,424,0.889,
37982,Nguyễn Thị Minh Khai,12209,đường Nguyễn Thị Minh Khai STT,426,0.889,
6563,Tiền Hải,16867,Thị trấn Tiền Hải,428,0.889,
6569,Duy Nhất,7560,xã  Duy Nhất,429,0.889,
6570,Hiệp Hòa,7557,xã  Hiệp Hòa,429,0.889,
6571,Hòa Bình,7545,xã  Hòa Bình,429,0.889,
6585,Trung An,7542,xã  Trung An,429,0.889,
7495,Sông Cầu,14573,Thị Trấn Sông Cầu,482,0.889,
7498,Trại Cau,14576,Thị Trấn Trại Cau,482,0.889,
7573,Lương Sơn,5722,Hương Sơn,487,0.889,
4125,Cẩm Thủy,21099,Thị trấn Cẩm Thủy,304,0.889,
4167,Hà Trung,20008,Thị trấn Hà Trung,306,0.889,
4298,Ngọc Lặc,22097,Thị Trấn Ngọc Lặc,312,0.889,
4310,Bến Sung,22593,Thị trấn Bến Sung,313,0.889,
4355,Tân Phúc,18640,xã Tân Phúc ,315,0.889,
4360,Tế Thắng,18645,xã Tế Thắng ,315,0.889,
4387,Phú Thanh,22211,xã Phú Than,316,0.889,
4389,Quan Hóa,22201,Thị trấn Quan Hóa,316,0.889,
4398,Quan Sơn,22219,Thị trấn Quan Sơn,317,0.889,
4462,Thành An,21140,xã Thành Vân,320,0.889,
4468,Thành Mỹ,21134,xã Thành Mỹ ,320,0.889,
4550,Sao Vàng,22740,Thị trấn Sao Vàng,323,0.889,
4561,Thọ Xuân,22734,Thị trấn Thọ Xuân,323,0.889,
4605,Định Hải,18668,xã Định Hải ,325,0.889,
4607,Hải Bình,18671,xã Hải Bình ,325,0.889,
4611,Hải Lĩnh,18675,xã Hải Lĩnh ,325,0.889,
4613,Hải Ninh,18677,xã Hải Ninh ,325,0.889,
4619,Nghi Sơn,18683,xã Nghi Sơn ,325,0.889,
4629,Tĩnh Gia,18663,Thị trấn Tĩnh Gia,325,0.889,
4634,Tùng Lâm,18697,xã Tùng Lâm ,325,0.889,
4677,Vĩnh Lộc,20186,Thị trấn Vĩnh Lộc,327,0.889,
4701,Quán Lào,17251,Thị trấn Quán Lào,328,0.889,
3479,Nhâm,19758,xã Nhâm,256,0.889,
3566,Phong Th,20370,Xã Phong Thu,261,0.889,
3600,Thuận An,15460,Thị Trấn Thuận An,263,0.889,
6172,Bình Đức,6479,Xã Bình Đức ,413,0.889,
6175,Đông Hòa,15965,Xã Đông Hòa ,413,0.889,
6185,Tam Hiệp,15974,Xã Tam Hiệp ,413,0.889,
6186,Tân Hiệp,6478,Thị trấn Tân Hiệp,413,0.889,
6238,Vàm Láng,6568,Thị trấn Vàm Láng,416,0.889,
12151,Ấp 1,2419,Ấp 1C,64,0.889,
12394,Nguyễn Thị Sưa,3395,Nguyễn Thị Tú,64,0.889,
12398,Nguyễn Thị Xưa,3395,Nguyễn Thị Tú,64,0.889,
12402,Nguyễn Văn Cừ,3396,Nguyễn Văn Bứa,64,0.889,
12537,Thành Long,2481,Tân Long,64,0.889,
12587,Vĩnh Lộc H,2493,Vĩnh Lộc,64,0.889,
43748,Nguyễn Văn Cừ,3396,Nguyễn Văn Bứa,64,0.889,
14334,Nam Thới,3082,Nam Thới 2,70,0.889,
14358,Nguyễn Thị Lơ,3641,Nguyễn Thị Sóc,70,0.889,
14368,Nguyễn Thị Nở,3641,Nguyễn Thị Sóc,70,0.889,
14421,Nhị Tân 2,3084,Nhị Tân 1,70,0.889,
14540,Tân Thới,3094,Tân Thới 3,70,0.889,
14548,Tân Thới Nhì 1,1187,Xã Tân Thới Nhì,70,0.889,
14561,Tân Thới Nhì 3,1187,Xã Tân Thới Nhì,70,0.889,
14563,Tân Thới Nhì 4,1187,Xã Tân Thới Nhì,70,0.889,
14564,Tân Thới Nhì 5,1187,Xã Tân Thới Nhì,70,0.889,
14565,Tân Thới Nhì 6,1187,Xã Tân Thới Nhì,70,0.889,
14566,Tân Thới Nhì 7,1187,Xã Tân Thới Nhì,70,0.889,
14567,Tân Thới Nhì 8,1187,Xã Tân Thới Nhì,70,0.889,
14568,Tân Thới Nhì 9,1187,Xã Tân Thới Nhì,70,0.889,
14798,Xuân Thới Thượng 10,1193,Xã Xuân Thới Thượng,70,0.889,
14799,Xuân Thới Thượng 12,1193,Xã Xuân Thới Thượng,70,0.889,
14801,Xuân Thới Thượng 13,1193,Xã Xuân Thới Thượng,70,0.889,
14802,Xuân Thới Thượng 14,1193,Xã Xuân Thới Thượng,70,0.889,
14804,Xuân Thới Thượng 16,1193,Xã Xuân Thới Thượng,70,0.889,
14805,Xuân Thới Thượng 17,1193,Xã Xuân Thới Thượng,70,0.889,
14806,Xuân Thới Thượng 18,1193,Xã Xuân Thới Thượng,70,0.889,
14807,Xuân Thới Thượng 19,1193,Xã Xuân Thới Thượng,70,0.889,
